Code,Gender,Customer Type,Age,State,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Seat comfort,Inflight entertainment,Baggage handling,Checkin service,Inflight service,Cleanliness,satisfaction,Delay
SC38759946,Female,Loyal Customer,12.0,NJ,Personal Travel,Eco Plus,308.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,neutral or dissatisfied,No
JN42885112,Male,Loyal Customer,53.0,NJ,Business travel,Eco,834.0,28.0,8.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,neutral or dissatisfied,Yes
RX25535201,Male,Loyal Customer,33.0,MO,Personal Travel,Eco,946.0,0.0,0.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,satisfied,No
MS27111818,Female,Loyal Customer,26.0,NJ,Personal Travel,Eco,453.0,30.0,32.5,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,neutral or dissatisfied,Yes
TM98090585,Male,Disloyal Customer,13.0,CT,Business travel,Eco,486.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0,3.0,4.0,neutral or dissatisfied,No
LN32495921,Female,Loyal Customer,26.0,UT,Business travel,Business,2123.0,30.0,32.5,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,satisfied,Yes
TG00760132,Male,Loyal Customer,41.0,NJ,Business travel,Business,2075.0,0.0,10.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,satisfied,No
DV25875314,Female,Loyal Customer,45.0,NJ,Business travel,Business,2486.0,7.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,satisfied,No
MY26067427,Male,Loyal Customer,38.0,NJ,Personal Travel,Eco,460.0,17.0,18.0,0.0,3.0,3.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,neutral or dissatisfied,Yes
QH99609545,Male,Loyal Customer,9.0,NJ,Business travel,Eco,1174.0,0.0,4.0,0.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,neutral or dissatisfied,No
TD81953715,Female,Loyal Customer,17.0,NJ,Personal Travel,Eco,208.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,neutral or dissatisfied,No
TU67585039,Female,Loyal Customer,43.0,NJ,Personal Travel,Eco,752.0,30.0,29.0,0.0,5.0,3.0,0.0,5.0,3.0,1.0,0.0,3.0,4.0,neutral or dissatisfied,Yes
EA02459544,Female,Loyal Customer,58.0,NJ,Personal Travel,Eco,2139.0,0.0,0.0,1.0,5.0,4.0,0.0,4.0,4.0,0.0,2.0,0.0,2.0,neutral or dissatisfied,No
JU15635533,Female,Disloyal Customer,23.0,PA,Business travel,Eco,452.0,30.0,32.5,5.0,0.0,5.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,satisfied,Yes
DJ86824651,Male,Loyal Customer,57.0,NJ,Personal Travel,Eco,719.0,27.0,28.0,1.0,4.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,neutral or dissatisfied,Yes
RE72812110,Female,Loyal Customer,33.0,MN,Business travel,Business,1561.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,2.0,satisfied,No
VB36017918,Female,Loyal Customer,49.0,NJ,Business travel,Eco Plus,315.0,0.0,8.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,satisfied,No
PG62410118,Female,Loyal Customer,36.0,NJ,Business travel,Business,3347.0,18.0,12.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,neutral or dissatisfied,Yes
CZ03800500,Male,Loyal Customer,22.0,OR,Personal Travel,Eco,2342.0,19.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,5.0,neutral or dissatisfied,Yes
DW73613544,Female,Loyal Customer,31.0,NJ,Business travel,Business,819.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,satisfied,No
MJ57209302,Female,Disloyal Customer,15.0,KY,Business travel,Eco,1043.0,3.0,0.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,neutral or dissatisfied,No
FV94925221,Female,Loyal Customer,35.0,NJ,Business travel,Business,2611.0,30.0,32.5,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,satisfied,Yes
OG60473694,Female,Loyal Customer,67.0,OH,Personal Travel,Eco,1192.0,18.0,24.0,1.0,5.0,4.0,2.0,5.0,5.0,1.0,1.0,5.0,0.0,neutral or dissatisfied,Yes
KH06934095,Male,Disloyal Customer,37.0,NJ,Business travel,Business,1182.0,9.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,neutral or dissatisfied,No
XN07367011,Female,Loyal Customer,40.0,SC,Business travel,Eco,349.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,neutral or dissatisfied,No
LN62433674,Female,Disloyal Customer,34.0,NJ,Business travel,Business,883.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,5.0,1.0,0.0,5.0,0.0,neutral or dissatisfied,No
DW19995624,Male,Loyal Customer,40.0,PA,Personal Travel,Eco Plus,550.0,23.0,20.0,1.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,neutral or dissatisfied,Yes
KI02021454,Female,Loyal Customer,47.0,RI,Personal Travel,Eco,302.0,23.0,31.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,satisfied,Yes
KB68963008,Male,Disloyal Customer,41.0,LA,Business travel,Business,354.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,neutral or dissatisfied,No
XW28086550,Male,Loyal Customer,39.0,MA,Business travel,Business,1734.0,0.0,0.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,satisfied,No
RU60368326,Female,Disloyal Customer,25.0,OH,Business travel,Business,1452.0,9.0,23.0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,1.0,5.0,5.0,neutral or dissatisfied,No
VJ90132914,Male,Loyal Customer,41.0,NJ,Business travel,Business,296.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,satisfied,No
GW14327320,Female,Loyal Customer,38.0,CT,Business travel,Business,2882.0,0.0,0.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,2.0,5.0,4.0,satisfied,No
RP10961302,Female,Loyal Customer,50.0,CT,Business travel,Business,460.0,1.0,15.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,satisfied,No
PU77454694,Male,Loyal Customer,29.0,NJ,Business travel,Business,529.0,4.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,satisfied,No
XT17398733,Female,Loyal Customer,22.0,NJ,Personal Travel,Business,349.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,5.0,4.0,neutral or dissatisfied,No
JS79938024,Female,Loyal Customer,13.0,NJ,Business travel,Business,1522.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,neutral or dissatisfied,No
HI81740877,Male,Loyal Customer,54.0,NJ,Business travel,Business,612.0,8.0,0.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,satisfied,No
NU13657788,Male,Loyal Customer,21.0,NJ,Personal Travel,Eco,1454.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,5.0,1.0,1.0,3.0,0.0,neutral or dissatisfied,No
MU66039925,Male,Loyal Customer,28.0,WA,Business travel,Eco,731.0,14.0,8.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,neutral or dissatisfied,No
BZ55581453,Male,Loyal Customer,27.0,MA,Business travel,Business,2076.0,0.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,satisfied,No
RB51190603,Female,Loyal Customer,69.0,OR,Business travel,Eco,309.0,0.0,0.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,4.0,5.0,2.0,satisfied,No
OX76785059,Male,Loyal Customer,35.0,NJ,Personal Travel,Eco,775.0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,4.0,1.0,0.0,1.0,4.0,neutral or dissatisfied,No
II95460584,Female,Loyal Customer,60.0,NJ,Personal Travel,Eco,861.0,10.0,10.0,0.0,2.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,neutral or dissatisfied,No
RQ21236729,Female,Loyal Customer,45.0,NJ,Business travel,Business,3334.0,30.0,32.5,2.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,satisfied,Yes
DY44170876,Female,Loyal Customer,57.0,VA,Business travel,Business,2496.0,0.0,5.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,satisfied,No
JO43033660,Male,Loyal Customer,40.0,OH,Business travel,Business,602.0,0.0,0.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,4.0,satisfied,No
UD22253296,Female,Disloyal Customer,38.0,OH,Business travel,Business,308.0,30.0,26.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,2.0,3.0,4.0,neutral or dissatisfied,Yes
LS10760195,Male,Disloyal Customer,23.0,MN,Business travel,Eco,446.0,4.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,0.0,1.0,5.0,4.0,neutral or dissatisfied,No
PA98056881,Male,Disloyal Customer,39.0,NJ,Business travel,Business,216.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0,neutral or dissatisfied,No
DP41370329,Female,Loyal Customer,52.0,NJ,Business travel,Business,3475.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,satisfied,No
AF68639661,Male,Disloyal Customer,25.0,NJ,Business travel,Eco,646.0,13.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0,2.0,2.0,4.0,neutral or dissatisfied,No
GC69340051,Female,Loyal Customer,48.0,GA,Business travel,Business,2501.0,0.0,0.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,satisfied,No
RZ90259734,Female,Loyal Customer,59.0,NJ,Business travel,Business,2227.0,30.0,15.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,satisfied,Yes
RG26696419,Male,Loyal Customer,25.0,AL,Business travel,Business,1426.0,4.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,satisfied,No
UV47158563,Male,Loyal Customer,38.0,MA,Personal Travel,Eco,190.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,5.0,4.0,neutral or dissatisfied,No
FG96184893,Male,Loyal Customer,46.0,NJ,Business travel,Business,1532.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,satisfied,No
ZO10260530,Male,Loyal Customer,50.0,NJ,Business travel,Eco,308.0,18.0,12.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,neutral or dissatisfied,Yes
NR63443501,Female,Loyal Customer,38.0,NJ,Business travel,Eco Plus,157.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,satisfied,No
ZK42650169,Female,Loyal Customer,53.0,NJ,Business travel,Business,1506.0,0.0,0.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,satisfied,No
DT43121092,Male,Loyal Customer,30.0,NJ,Business travel,Eco Plus,205.0,30.0,32.5,0.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,5.0,neutral or dissatisfied,Yes
SZ10317968,Male,Disloyal Customer,39.0,NJ,Business travel,Business,895.0,0.0,2.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,1.0,5.0,0.0,neutral or dissatisfied,No
WY92231743,Male,Loyal Customer,66.0,NJ,Personal Travel,Eco Plus,516.0,0.0,32.5,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,neutral or dissatisfied,No
GY78219218,Male,Loyal Customer,45.0,PA,Personal Travel,Eco,909.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,neutral or dissatisfied,No
GQ13868037,Female,Disloyal Customer,25.0,NJ,Business travel,Business,1435.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,satisfied,No
HK54103499,Male,Loyal Customer,52.0,NJ,Business travel,Business,1190.0,0.0,6.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,neutral or dissatisfied,No
UA47263290,Male,Loyal Customer,64.0,NJ,Personal Travel,Eco,1259.0,20.0,5.0,4.0,5.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,satisfied,Yes
GR51404106,Female,Disloyal Customer,50.0,NJ,Business travel,Eco,216.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,4.0,neutral or dissatisfied,No
WB38288782,Female,Disloyal Customer,41.0,NJ,Business travel,Business,1670.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,5.0,5.0,neutral or dissatisfied,No
TX41104287,Male,Loyal Customer,26.0,NJ,Business travel,Business,3739.0,30.0,32.5,1.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,satisfied,Yes
EY78514090,Female,Disloyal Customer,25.0,NJ,Business travel,Eco,817.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,3.0,5.0,neutral or dissatisfied,No
KN87648109,Female,Disloyal Customer,44.0,NJ,Business travel,Business,1670.0,0.0,8.0,0.0,3.0,3.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,neutral or dissatisfied,No
MV43944989,Female,Disloyal Customer,21.0,MN,Business travel,Business,861.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,satisfied,No
CK18424960,Male,Loyal Customer,47.0,NJ,Business travel,Business,406.0,30.0,32.5,2.0,2.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,satisfied,Yes
PW92713700,Male,Loyal Customer,31.0,NJ,Business travel,Eco Plus,404.0,17.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,satisfied,Yes
GS08729522,Female,Loyal Customer,57.0,NJ,Personal Travel,Eco Plus,500.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,5.0,1.0,0.0,5.0,0.0,neutral or dissatisfied,No
AA17040979,Male,Loyal Customer,44.0,VA,Personal Travel,Eco,689.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,5.0,1.0,0.0,5.0,0.0,neutral or dissatisfied,No
YX64075227,Male,Loyal Customer,45.0,WA,Business travel,Business,3100.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,1.0,satisfied,No
GW24185700,Male,Disloyal Customer,13.0,NJ,Business travel,Eco,525.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,neutral or dissatisfied,No
FO46066054,Male,Loyal Customer,60.0,NJ,Personal Travel,Eco,931.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,satisfied,No
YM45901824,Female,Disloyal Customer,41.0,NJ,Business travel,Business,304.0,30.0,19.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,satisfied,Yes
EI33986091,Male,Loyal Customer,30.0,NJ,Business travel,Business,1896.0,30.0,32.5,1.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,4.0,neutral or dissatisfied,Yes
QG78612957,Female,Loyal Customer,51.0,NJ,Business travel,Eco Plus,261.0,0.0,0.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0,satisfied,No
SH30045098,Female,Loyal Customer,61.0,NJ,Business travel,Eco,347.0,0.0,11.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,satisfied,No
BL02032411,Female,Loyal Customer,32.0,NJ,Business travel,Eco,1042.0,30.0,32.5,4.0,1.0,1.0,4.0,4.0,4.0,1.0,5.0,2.0,4.0,satisfied,Yes
TQ86012549,Female,Loyal Customer,39.0,NJ,Personal Travel,Eco,1773.0,14.0,18.0,1.0,5.0,4.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,neutral or dissatisfied,No
XU13618982,Male,Loyal Customer,19.0,NJ,Personal Travel,Business,342.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,5.0,neutral or dissatisfied,No
TM60916702,Female,Loyal Customer,15.0,LA,Personal Travel,Eco Plus,297.0,30.0,32.5,1.0,5.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,neutral or dissatisfied,Yes
HO33832398,Female,Disloyal Customer,42.0,CT,Business travel,Business,883.0,22.0,27.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,satisfied,Yes
QE31877192,Female,Loyal Customer,16.0,LA,Personal Travel,Eco,332.0,30.0,32.5,0.0,5.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,5.0,neutral or dissatisfied,Yes
MT23366609,Male,Loyal Customer,19.0,NJ,Business travel,Business,2388.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,satisfied,No
JQ12272027,Female,Loyal Customer,29.0,NJ,Personal Travel,Eco,748.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0,neutral or dissatisfied,No
XH41484906,Female,Disloyal Customer,27.0,NJ,Business travel,Eco Plus,1080.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,5.0,neutral or dissatisfied,No
YO73170094,Male,Disloyal Customer,22.0,NV,Business travel,Business,231.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,5.0,satisfied,No
SN78679804,Female,Loyal Customer,15.0,NJ,Personal Travel,Eco,551.0,3.0,0.0,0.0,4.0,3.0,0.0,4.0,4.0,0.0,2.0,1.0,4.0,neutral or dissatisfied,No
ZF80218758,Male,Disloyal Customer,11.0,OH,Business travel,Eco,972.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,neutral or dissatisfied,No
FW75185296,Female,Loyal Customer,34.0,NJ,Personal Travel,Eco,265.0,0.0,23.0,1.0,3.0,4.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,neutral or dissatisfied,No
BU63412310,Female,Disloyal Customer,26.0,NJ,Business travel,Eco,488.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,neutral or dissatisfied,No
UK15493624,Female,Loyal Customer,26.0,OR,Personal Travel,Eco,1144.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,4.0,1.0,0.0,5.0,4.0,neutral or dissatisfied,No
DU48819288,Male,Loyal Customer,53.0,NJ,Business travel,Business,2332.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,satisfied,No
FK05299766,Male,Loyal Customer,36.0,NV,Business travel,Business,3024.0,30.0,13.0,1.0,2.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,neutral or dissatisfied,Yes
RX67990982,Male,Loyal Customer,32.0,NJ,Business travel,Business,1750.0,0.0,0.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,neutral or dissatisfied,No
QI01930478,Male,Loyal Customer,20.0,NJ,Personal Travel,Eco,483.0,30.0,32.5,0.0,3.0,2.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,neutral or dissatisfied,Yes
DO09596824,Female,Loyal Customer,35.0,NJ,Business travel,Business,2128.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,satisfied,No
GS13204517,Male,Loyal Customer,15.0,CO,Personal Travel,Eco,235.0,1.0,10.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,neutral or dissatisfied,No
KW23451365,Male,Loyal Customer,52.0,NJ,Personal Travel,Eco,689.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,5.0,neutral or dissatisfied,No
EN81068317,Male,Loyal Customer,45.0,NJ,Business travel,Business,1852.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,5.0,2.0,5.0,satisfied,No
FI83222627,Female,Disloyal Customer,24.0,VA,Business travel,Eco,372.0,21.0,23.0,1.0,4.0,4.0,0.0,5.0,3.0,0.0,0.0,0.0,5.0,neutral or dissatisfied,Yes
HI24078469,Female,Loyal Customer,46.0,NJ,Business travel,Business,3705.0,4.0,0.0,1.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,neutral or dissatisfied,No
JA79411158,Male,Disloyal Customer,26.0,OR,Business travel,Eco,416.0,0.0,9.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,neutral or dissatisfied,No
KS17890385,Male,Loyal Customer,28.0,PA,Business travel,Eco,337.0,3.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,2.0,0.0,2.0,4.0,neutral or dissatisfied,No
WL43690924,Male,Loyal Customer,11.0,MD,Personal Travel,Eco,335.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,5.0,neutral or dissatisfied,No
XL47103144,Male,Loyal Customer,45.0,GA,Business travel,Business,1400.0,4.0,9.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,satisfied,No
ZM92211683,Male,Loyal Customer,62.0,NJ,Personal Travel,Eco,2521.0,7.0,30.0,1.0,5.0,4.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,neutral or dissatisfied,No
VH16727704,Female,Loyal Customer,34.0,PA,Business travel,Business,374.0,0.0,0.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,5.0,4.0,3.0,satisfied,No
XE56394881,Male,Loyal Customer,51.0,NJ,Business travel,Business,308.0,17.0,8.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,satisfied,Yes
LJ37963401,Female,Loyal Customer,58.0,WV,Business travel,Eco Plus,575.0,14.0,16.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,neutral or dissatisfied,No
ZZ90721398,Male,Loyal Customer,22.0,GA,Personal Travel,Eco,618.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,0.0,1.0,5.0,5.0,neutral or dissatisfied,No
AT66300688,Male,Loyal Customer,8.0,MD,Business travel,Eco,1304.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,satisfied,No
ZQ46993792,Male,Disloyal Customer,26.0,NJ,Business travel,Business,351.0,4.0,11.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,satisfied,No
IV29419803,Female,Loyal Customer,22.0,GA,Personal Travel,Eco,549.0,15.0,3.0,1.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,5.0,5.0,neutral or dissatisfied,Yes
GU92323467,Female,Loyal Customer,21.0,NJ,Business travel,Business,3510.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0,5.0,neutral or dissatisfied,No
MB31791919,Male,Loyal Customer,31.0,MN,Business travel,Business,1620.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,neutral or dissatisfied,No
NX51630478,Female,Loyal Customer,44.0,WA,Personal Travel,Eco,326.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,0.0,neutral or dissatisfied,No
GJ59123697,Male,Loyal Customer,27.0,GA,Business travel,Business,588.0,0.0,0.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,satisfied,No
KL28991991,Female,Loyal Customer,47.0,NJ,Business travel,Business,1020.0,0.0,0.0,3.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,satisfied,No
ZV81903830,Male,Loyal Customer,24.0,OH,Business travel,Business,2903.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,5.0,neutral or dissatisfied,No
