Code,Gender,Customer Type,Age,State,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes
TD81953715,Female,Loyal Customer,17.0,,Personal Travel,Eco,208.0,0.0,0.0
TU67585039,Female,Loyal Customer,43.0,,Personal Travel,Eco,752.0,52.0,29.0
EA02459544,Female,Loyal Customer,58.0,,Personal Travel,Eco,2139.0,0.0,0.0
JU15635533,Female,Disloyal Customer,23.0,PA,Business travel,Eco,452.0,54.0,44.0
DJ86824651,Male,Loyal Customer,57.0,,Personal Travel,Eco,719.0,27.0,28.0
RE72812110,Female,Loyal Customer,33.0,MN,Business travel,Business,1561.0,0.0,0.0
VB36017918,Female,Loyal Customer,49.0,,Business travel,Eco Plus,315.0,0.0,8.0
PG62410118,Female,Loyal Customer,36.0,NJ,Business travel,Business,3347.0,18.0,12.0
CZ03800500,Male,Loyal Customer,22.0,OR,Personal Travel,Eco,2342.0,19.0,0.0
DW73613544,Female,Loyal Customer,31.0,,Business travel,Business,819.0,0.0,0.0
MJ57209302,Female,Disloyal Customer,15.0,KY,Business travel,Eco,1043.0,3.0,0.0
FV94925221,Female,Loyal Customer,35.0,,Business travel,Business,2611.0,109.0,120.0
OG60473694,Female,Loyal Customer,67.0,OH,Personal Travel,Eco,1192.0,18.0,24.0
KH06934095,Male,Disloyal Customer,37.0,,Business travel,Business,1182.0,9.0,0.0
XN07367011,Female,Loyal Customer,40.0,SC,Business travel,Eco,349.0,0.0,1.0
LN62433674,Female,Disloyal Customer,34.0,NJ,Business travel,Business,883.0,0.0,0.0
DW19995624,Male,Loyal Customer,40.0,PA,Personal Travel,Eco Plus,550.0,23.0,20.0
KI02021454,Female,Loyal Customer,47.0,RI,Personal Travel,Eco,302.0,23.0,31.0
KB68963008,Male,Disloyal Customer,41.0,LA,Business travel,Business,354.0,0.0,0.0
XW28086550,Male,Loyal Customer,39.0,MA,Business travel,Business,1734.0,0.0,0.0
RU60368326,Female,Disloyal Customer,25.0,OH,Business travel,Business,1452.0,9.0,23.0
VJ90132914,Male,Loyal Customer,41.0,,Business travel,Business,296.0,0.0,0.0
GW14327320,Female,Loyal Customer,38.0,CT,Business travel,Business,2882.0,0.0,0.0
RP10961302,Female,Loyal Customer,50.0,CT,Business travel,Business,460.0,1.0,15.0
PU77454694,Male,Loyal Customer,29.0,,Business travel,Business,529.0,4.0,0.0
XT17398733,Female,Loyal Customer,22.0,,Personal Travel,Business,349.0,0.0,0.0
JS79938024,Female,Loyal Customer,13.0,,Business travel,Business,1522.0,0.0,0.0
HI81740877,Male,Loyal Customer,54.0,,Business travel,Business,612.0,8.0,0.0
NU13657788,Male,Loyal Customer,21.0,,Personal Travel,Eco,1454.0,0.0,0.0
MU66039925,Male,Loyal Customer,28.0,WA,Business travel,Eco,731.0,14.0,8.0
BZ55581453,Male,Loyal Customer,27.0,MA,Business travel,Business,2076.0,0.0,1.0
RB51190603,Female,Loyal Customer,69.0,OR,Business travel,Eco,309.0,0.0,0.0
OX76785059,Male,Loyal Customer,35.0,,Personal Travel,Eco,775.0,1.0,0.0
II95460584,Female,Loyal Customer,60.0,,Personal Travel,Eco,861.0,10.0,10.0
RQ21236729,Female,Loyal Customer,45.0,,Business travel,Business,3334.0,51.0,48.0
DY44170876,Female,Loyal Customer,57.0,VA,Business travel,Business,2496.0,0.0,5.0
JO43033660,Male,Loyal Customer,40.0,OH,Business travel,Business,602.0,0.0,0.0
UD22253296,Female,Disloyal Customer,38.0,OH,Business travel,Business,308.0,39.0,26.0
LS10760195,Male,Disloyal Customer,23.0,MN,Business travel,Eco,446.0,4.0,0.0
PA98056881,Male,Disloyal Customer,39.0,,Business travel,Business,216.0,0.0,0.0
DP41370329,Female,Loyal Customer,52.0,,Business travel,Business,3475.0,0.0,0.0
AF68639661,Male,Disloyal Customer,25.0,,Business travel,Eco,646.0,13.0,1.0
GC69340051,Female,Loyal Customer,48.0,GA,Business travel,Business,2501.0,0.0,0.0
RZ90259734,Female,Loyal Customer,59.0,,Business travel,Business,2227.0,30.0,15.0
RG26696419,Male,Loyal Customer,25.0,AL,Business travel,Business,1426.0,4.0,0.0
UV47158563,Male,Loyal Customer,38.0,MA,Personal Travel,Eco,190.0,0.0,0.0
FG96184893,Male,Loyal Customer,46.0,,Business travel,Business,1532.0,0.0,0.0
ZO10260530,Male,Loyal Customer,50.0,NJ,Business travel,Eco,308.0,18.0,12.0
NR63443501,Female,Loyal Customer,38.0,,Business travel,Eco Plus,157.0,0.0,0.0
ZK42650169,Female,Loyal Customer,53.0,,Business travel,Business,1506.0,0.0,0.0
DT43121092,Male,Loyal Customer,30.0,,Business travel,Eco Plus,205.0,64.0,49.0
SZ10317968,Male,Disloyal Customer,39.0,,Business travel,Business,895.0,0.0,2.0
WY92231743,Male,Loyal Customer,66.0,,Personal Travel,Eco Plus,516.0,0.0,37.0
GY78219218,Male,Loyal Customer,45.0,PA,Personal Travel,Eco,909.0,0.0,0.0
GQ13868037,Female,Disloyal Customer,25.0,,Business travel,Business,1435.0,1.0,1.0
HK54103499,Male,Loyal Customer,52.0,,Business travel,Business,1190.0,0.0,6.0
UA47263290,Male,Loyal Customer,64.0,,Personal Travel,Eco,1259.0,20.0,5.0
GR51404106,Female,Disloyal Customer,50.0,,Business travel,Eco,216.0,0.0,0.0
WB38288782,Female,Disloyal Customer,41.0,,Business travel,Business,1670.0,0.0,0.0
TX41104287,Male,Loyal Customer,26.0,,Business travel,Business,3960.0,45.0,48.0
EY78514090,Female,Disloyal Customer,25.0,,Business travel,Eco,817.0,0.0,0.0
KN87648109,Female,Disloyal Customer,44.0,,Business travel,Business,1670.0,0.0,8.0
MV43944989,Female,Disloyal Customer,21.0,MN,Business travel,Business,861.0,0.0,0.0
CK18424960,Male,Loyal Customer,47.0,,Business travel,Business,406.0,44.0,50.0
PW92713700,Male,Loyal Customer,31.0,,Business travel,Eco Plus,404.0,17.0,3.0
GS08729522,Female,Loyal Customer,57.0,,Personal Travel,Eco Plus,500.0,0.0,0.0
AA17040979,Male,Loyal Customer,44.0,VA,Personal Travel,Eco,689.0,0.0,0.0
YX64075227,Male,Loyal Customer,45.0,WA,Business travel,Business,3100.0,0.0,0.0
GW24185700,Male,Disloyal Customer,13.0,,Business travel,Eco,525.0,0.0,0.0
FO46066054,Male,Loyal Customer,60.0,,Personal Travel,Eco,931.0,0.0,0.0
YM45901824,Female,Disloyal Customer,41.0,NJ,Business travel,Business,304.0,31.0,19.0
EI33986091,Male,Loyal Customer,30.0,,Business travel,Business,1896.0,81.0,72.0
QG78612957,Female,Loyal Customer,51.0,,Business travel,Eco Plus,261.0,0.0,0.0
SH30045098,Female,Loyal Customer,61.0,,Business travel,Eco,347.0,0.0,11.0
BL02032411,Female,Loyal Customer,32.0,,Business travel,Eco,1042.0,35.0,34.0
TQ86012549,Female,Loyal Customer,39.0,,Personal Travel,Eco,1773.0,14.0,18.0
XU13618982,Male,Loyal Customer,19.0,,Personal Travel,Business,342.0,0.0,0.0
TM60916702,Female,Loyal Customer,15.0,LA,Personal Travel,Eco Plus,297.0,67.0,62.0
HO33832398,Female,Disloyal Customer,42.0,CT,Business travel,Business,883.0,22.0,27.0
QE31877192,Female,Loyal Customer,16.0,LA,Personal Travel,Eco,332.0,40.0,52.0
MT23366609,Male,Loyal Customer,19.0,,Business travel,Business,2388.0,0.0,0.0
JQ12272027,Female,Loyal Customer,29.0,,Personal Travel,Eco,748.0,0.0,0.0
XH41484906,Female,Disloyal Customer,27.0,,Business travel,Eco Plus,1080.0,0.0,0.0
YO73170094,Male,Disloyal Customer,22.0,NV,Business travel,Business,231.0,0.0,0.0
SN78679804,Female,Loyal Customer,15.0,,Personal Travel,Eco,551.0,3.0,0.0
ZF80218758,Male,Disloyal Customer,11.0,OH,Business travel,Eco,972.0,0.0,0.0
FW75185296,Female,Loyal Customer,34.0,,Personal Travel,Eco,265.0,0.0,23.0
BU63412310,Female,Disloyal Customer,26.0,,Business travel,Eco,488.0,0.0,0.0
UK15493624,Female,Loyal Customer,26.0,OR,Personal Travel,Eco,1144.0,0.0,0.0
DU48819288,Male,Loyal Customer,53.0,,Business travel,Business,2332.0,0.0,3.0
FK05299766,Male,Loyal Customer,36.0,NV,Business travel,Business,3024.0,30.0,13.0
RX67990982,Male,Loyal Customer,32.0,,Business travel,Business,1750.0,0.0,0.0
QI01930478,Male,Loyal Customer,20.0,,Personal Travel,Eco,483.0,91.0,82.0
DO09596824,Female,Loyal Customer,35.0,,Business travel,Business,2128.0,0.0,0.0
GS13204517,Male,Loyal Customer,15.0,CO,Personal Travel,Eco,235.0,1.0,10.0
KW23451365,Male,Loyal Customer,52.0,,Personal Travel,Eco,689.0,0.0,0.0
EN81068317,Male,Loyal Customer,45.0,NJ,Business travel,Business,1852.0,0.0,0.0
FI83222627,Female,Disloyal Customer,24.0,VA,Business travel,Eco,372.0,21.0,23.0
HI24078469,Female,Loyal Customer,46.0,,Business travel,Business,3705.0,4.0,0.0
JA79411158,Male,Disloyal Customer,26.0,OR,Business travel,Eco,416.0,0.0,9.0
KS17890385,Male,Loyal Customer,28.0,PA,Business travel,Eco,337.0,3.0,0.0
WL43690924,Male,Loyal Customer,11.0,MD,Personal Travel,Eco,335.0,0.0,0.0
XL47103144,Male,Loyal Customer,45.0,GA,Business travel,Business,1400.0,4.0,9.0
ZM92211683,Male,Loyal Customer,62.0,NJ,Personal Travel,Eco,2521.0,7.0,30.0
VH16727704,Female,Loyal Customer,34.0,PA,Business travel,Business,374.0,0.0,0.0
XE56394881,Male,Loyal Customer,51.0,,Business travel,Business,308.0,17.0,8.0
LJ37963401,Female,Loyal Customer,58.0,WV,Business travel,Eco Plus,575.0,14.0,16.0
ZZ90721398,Male,Loyal Customer,22.0,GA,Personal Travel,Eco,618.0,0.0,0.0
AT66300688,Male,Loyal Customer,8.0,MD,Business travel,Eco,1304.0,0.0,0.0
ZQ46993792,Male,Disloyal Customer,26.0,,Business travel,Business,351.0,4.0,11.0
IV29419803,Female,Loyal Customer,22.0,GA,Personal Travel,Eco,549.0,15.0,3.0
GU92323467,Female,Loyal Customer,21.0,,Business travel,Business,3510.0,0.0,0.0
MB31791919,Male,Loyal Customer,31.0,MN,Business travel,Business,1620.0,0.0,0.0
NX51630478,Female,Loyal Customer,44.0,WA,Personal Travel,Eco,326.0,0.0,0.0
GJ59123697,Male,Loyal Customer,27.0,GA,Business travel,Business,588.0,0.0,0.0
KL28991991,Female,Loyal Customer,47.0,NJ,Business travel,Business,1020.0,0.0,0.0
ZV81903830,Male,Loyal Customer,24.0,OH,Business travel,Business,2903.0,0.0,0.0
RW21240976,Male,Loyal Customer,67.0,,Business travel,Business,2659.0,0.0,0.0
WG69887280,Male,Loyal Customer,32.0,GA,Business travel,Business,3037.0,0.0,0.0
VI04948150,Female,Loyal Customer,58.0,,Personal Travel,Eco,2475.0,29.0,10.0
BG75342588,Male,Loyal Customer,12.0,,Personal Travel,Eco,978.0,0.0,0.0
TR19696458,Female,Loyal Customer,56.0,,Business travel,Business,2568.0,0.0,0.0
VO12514231,Female,Loyal Customer,58.0,,Personal Travel,Business,371.0,0.0,0.0
SV57037153,Male,Disloyal Customer,24.0,MD,Business travel,Eco,791.0,39.0,6.0
MS52803403,Male,Loyal Customer,68.0,PA,Personal Travel,Eco,480.0,7.0,6.0
YI72387797,Male,Loyal Customer,46.0,OR,Business travel,Business,1786.0,1.0,7.0
SD96371228,Male,Loyal Customer,43.0,,Business travel,Business,1849.0,0.0,7.0
NY12890247,Female,Loyal Customer,55.0,VT,Business travel,Business,3634.0,0.0,0.0
WV10883420,Female,Loyal Customer,54.0,,Personal Travel,Business,844.0,0.0,0.0
JE74366725,Female,Loyal Customer,42.0,,Business travel,Business,3094.0,0.0,10.0
DP54014216,Female,Loyal Customer,47.0,MI,Business travel,Business,3465.0,13.0,15.0
AT34622821,Female,Disloyal Customer,29.0,,Business travel,Business,1035.0,0.0,0.0
QY44067421,Female,Loyal Customer,36.0,,Business travel,Eco,237.0,0.0,0.0
BJ44587223,Female,Loyal Customer,50.0,DC,Business travel,Business,3175.0,0.0,0.0
TJ21136097,Female,Loyal Customer,31.0,NJ,Personal Travel,Eco,760.0,17.0,27.0
DX68303462,Male,Loyal Customer,13.0,,Personal Travel,Eco,853.0,105.0,122.0
QW58172641,Male,Disloyal Customer,24.0,WA,Business travel,Eco,446.0,0.0,0.0
XP88628732,Female,Loyal Customer,60.0,,Business travel,Business,1071.0,0.0,0.0
BP81302819,Female,Loyal Customer,42.0,,Personal Travel,Eco,728.0,0.0,3.0
SG38863751,Female,Loyal Customer,57.0,,Business travel,Business,2585.0,0.0,0.0
ST79079951,Female,Loyal Customer,42.0,,Business travel,Business,707.0,27.0,11.0
EB01086401,Male,Disloyal Customer,20.0,,Business travel,Eco,861.0,0.0,0.0
YW68758937,Female,Loyal Customer,51.0,,Personal Travel,Eco,719.0,19.0,0.0
AX66034576,Male,Loyal Customer,45.0,,Business travel,Business,1790.0,0.0,0.0
HY48477216,Female,Loyal Customer,26.0,CT,Business travel,Eco Plus,680.0,12.0,27.0
RO47109537,Male,Disloyal Customer,26.0,,Business travel,Eco,888.0,51.0,30.0
KK05433997,Female,Loyal Customer,24.0,,Personal Travel,Eco,1660.0,0.0,2.0
WQ54422642,Male,Loyal Customer,49.0,,Business travel,Eco,578.0,162.0,179.0
AD92255539,Female,Loyal Customer,17.0,,Business travel,Eco,606.0,15.0,15.0
MQ15092920,Female,Loyal Customer,39.0,SD,Business travel,Business,1487.0,7.0,0.0
YA29710969,Female,Loyal Customer,49.0,,Business travel,Business,317.0,0.0,0.0
VN03383263,Female,Loyal Customer,48.0,VA,Personal Travel,Eco,844.0,0.0,1.0
ST84030296,Male,Loyal Customer,52.0,WA,Business travel,Business,3747.0,24.0,20.0
GP80756590,Female,Loyal Customer,25.0,,Business travel,Business,2748.0,0.0,0.0
SC59446196,Female,Loyal Customer,16.0,NC,Business travel,Business,1503.0,0.0,0.0
KS80605475,Male,Loyal Customer,58.0,VA,Business travel,Business,1717.0,0.0,0.0
MX92976115,Male,Disloyal Customer,8.0,,Business travel,Business,1117.0,0.0,7.0
YS53998963,Male,Loyal Customer,42.0,RI,Business travel,Business,1372.0,141.0,125.0
OC66192392,Female,Loyal Customer,52.0,,Business travel,Business,2768.0,0.0,0.0
NU22707612,Female,Loyal Customer,47.0,OH,Business travel,Eco,370.0,0.0,0.0
AE86875044,Female,Loyal Customer,69.0,,Personal Travel,Eco,1546.0,1.0,26.0
UW47192405,Female,Loyal Customer,47.0,,Personal Travel,Eco,1023.0,0.0,0.0
QP67882878,Female,Loyal Customer,41.0,AR,Business travel,Business,3636.0,0.0,0.0
MU36671176,Female,Loyal Customer,40.0,,Personal Travel,Eco,1325.0,0.0,9.0
TF12053295,Female,Loyal Customer,56.0,,Personal Travel,Eco,2556.0,0.0,0.0
GJ31919826,Male,Loyal Customer,41.0,,Business travel,Business,1052.0,6.0,0.0
VZ95615680,Female,Loyal Customer,40.0,,Business travel,Eco,773.0,15.0,26.0
HY62947929,Male,Loyal Customer,12.0,OH,Personal Travel,Business,817.0,0.0,0.0
OT95169806,Male,Loyal Customer,59.0,,Personal Travel,Eco,516.0,3.0,0.0
EU59979527,Female,Loyal Customer,21.0,MD,Personal Travel,Eco,447.0,34.0,19.0
YN63424469,Male,Loyal Customer,12.0,,Personal Travel,Eco,462.0,0.0,0.0
WI65425209,Male,Loyal Customer,31.0,KS,Business travel,Eco,361.0,0.0,0.0
KH26173519,Female,Loyal Customer,37.0,,Personal Travel,Eco,125.0,6.0,4.0
FL65969615,Female,Loyal Customer,38.0,CT,Personal Travel,Eco,271.0,0.0,0.0
RO55843916,Male,Loyal Customer,45.0,PA,Personal Travel,Eco,173.0,0.0,0.0
FM33912242,Male,Loyal Customer,43.0,,Business travel,Business,1950.0,0.0,0.0
IK10139532,Female,Loyal Customer,52.0,,Personal Travel,Eco,719.0,0.0,17.0
AQ88380244,Female,Loyal Customer,57.0,,Business travel,Business,153.0,0.0,0.0
DQ00837145,Female,Loyal Customer,13.0,,Personal Travel,Business,337.0,0.0,18.0
OB68207765,Female,Loyal Customer,45.0,,Business travel,Business,3732.0,17.0,0.0
YP89158695,Female,Loyal Customer,43.0,,Business travel,Business,3854.0,0.0,0.0
QI57109270,Male,Loyal Customer,53.0,,Business travel,Eco,977.0,20.0,17.0
DT66123518,Male,Loyal Customer,23.0,GA,Business travel,Business,3073.0,0.0,3.0
MT72331017,Female,Loyal Customer,16.0,NC,Personal Travel,Eco,1379.0,2.0,0.0
IY52788248,Male,Loyal Customer,23.0,WA,Business travel,Eco,631.0,0.0,8.0
GU70960928,Male,Loyal Customer,45.0,,Personal Travel,Eco,666.0,0.0,0.0
UH64220954,Female,Loyal Customer,46.0,,Business travel,Business,2820.0,1.0,0.0
TM51806005,Female,Loyal Customer,40.0,,Business travel,Business,2808.0,7.0,2.0
XW60081715,Female,Loyal Customer,19.0,OH,Business travel,Business,2172.0,0.0,0.0
UK21960160,Female,Loyal Customer,48.0,WA,Personal Travel,Eco,1192.0,0.0,0.0
NG50655980,Female,Loyal Customer,64.0,,Business travel,Business,1773.0,0.0,0.0
MV71203163,Male,Loyal Customer,23.0,,Personal Travel,Eco,1749.0,97.0,89.0
NK01379814,Female,Loyal Customer,38.0,WA,Business travel,Business,3753.0,0.0,0.0
QA24431600,Male,Loyal Customer,41.0,KS,Personal Travel,Eco,214.0,16.0,34.0
ZJ47750113,Male,Loyal Customer,29.0,,Personal Travel,Eco,1020.0,0.0,0.0
PJ40487799,Male,Loyal Customer,47.0,GA,Business travel,Eco Plus,368.0,0.0,0.0
EW75858253,Male,Loyal Customer,50.0,NM,Personal Travel,Eco Plus,1448.0,20.0,4.0
PM52537046,Female,Loyal Customer,18.0,,Personal Travel,Eco,1127.0,0.0,0.0
AE65995275,Female,Loyal Customer,20.0,WA,Personal Travel,Eco,545.0,4.0,0.0
MP07949584,Female,Loyal Customer,41.0,,Business travel,Business,3238.0,0.0,0.0
UL41240819,Female,Loyal Customer,12.0,OR,Personal Travel,Eco,2466.0,0.0,0.0
JL54392079,Female,Loyal Customer,36.0,WA,Personal Travel,Eco,2715.0,0.0,0.0
JD55590107,Male,Loyal Customer,49.0,,Business travel,Business,337.0,10.0,0.0
CO06408458,Female,Loyal Customer,55.0,NC,Personal Travel,Eco,1608.0,0.0,0.0
YF87924458,Female,Loyal Customer,43.0,CO,Business travel,Business,3004.0,0.0,0.0
HE24496618,Female,Disloyal Customer,49.0,,Business travel,Business,980.0,11.0,6.0
WL55475071,Female,Disloyal Customer,35.0,PA,Business travel,Eco,1462.0,0.0,0.0
AN19434693,Male,Loyal Customer,45.0,,Business travel,Business,1521.0,0.0,0.0
IP76003368,Female,Loyal Customer,28.0,MO,Business travel,Business,862.0,9.0,5.0
YG35375286,Male,Loyal Customer,60.0,OH,Business travel,Business,1833.0,0.0,0.0
OU71446472,Male,Loyal Customer,35.0,OR,Business travel,Business,2398.0,0.0,9.0
PS20342012,Female,Disloyal Customer,38.0,NC,Business travel,Business,349.0,29.0,28.0
IN14398871,Male,Loyal Customer,48.0,LA,Business travel,Business,1722.0,0.0,0.0
QC41256099,Female,Loyal Customer,65.0,GA,Personal Travel,Eco,578.0,99.0,101.0
ZZ07129150,Male,Loyal Customer,30.0,,Personal Travel,Eco Plus,163.0,9.0,11.0
WU26126075,Female,Loyal Customer,51.0,,Personal Travel,Eco,395.0,0.0,0.0
DC38960637,Male,Disloyal Customer,23.0,MD,Business travel,Eco,416.0,18.0,4.0
AX67762371,Female,Loyal Customer,37.0,,Business travel,Eco,977.0,0.0,0.0
QH04103491,Male,Loyal Customer,23.0,,Business travel,Business,3095.0,9.0,0.0
ZL80076252,Male,Loyal Customer,32.0,,Business travel,Business,738.0,0.0,3.0
WX50647540,Male,Loyal Customer,67.0,,Personal Travel,Eco,719.0,24.0,14.0
WM86561444,Male,Loyal Customer,65.0,NC,Personal Travel,Business,226.0,37.0,20.0
IP41266658,Female,Loyal Customer,48.0,,Business travel,Business,1943.0,0.0,0.0
SS75848855,Male,Loyal Customer,60.0,,Business travel,Business,2371.0,66.0,61.0
XE42079618,Female,Loyal Customer,31.0,,Business travel,Business,551.0,53.0,48.0
WS71448097,Male,Loyal Customer,22.0,NJ,Business travel,Eco Plus,493.0,19.0,6.0
LB93188965,Male,Disloyal Customer,27.0,MI,Business travel,Eco,925.0,4.0,3.0
HE63488132,Female,Loyal Customer,19.0,,Personal Travel,Eco,405.0,0.0,0.0
SA39906270,Female,Disloyal Customer,26.0,,Business travel,Eco,1055.0,0.0,0.0
WZ65896764,Male,Loyal Customer,72.0,WV,Business travel,Eco,305.0,0.0,0.0
YC02112435,Female,Loyal Customer,34.0,,Business travel,Business,589.0,0.0,11.0
TE52363998,Female,Loyal Customer,45.0,,Business travel,Business,1587.0,0.0,0.0
NV83708456,Male,Loyal Customer,51.0,MA,Business travel,Business,3090.0,0.0,0.0
HM40091188,Female,Disloyal Customer,26.0,NJ,Business travel,Eco,804.0,7.0,0.0
MC86819765,Female,Loyal Customer,12.0,CO,Personal Travel,Eco,719.0,0.0,0.0
SL46023988,Female,Loyal Customer,72.0,MI,Business travel,Eco Plus,67.0,28.0,18.0
ED54945251,Male,Loyal Customer,45.0,WV,Business travel,Eco,550.0,0.0,0.0
OL27879041,Female,Loyal Customer,22.0,VA,Business travel,Business,2809.0,36.0,28.0
XI34684290,Female,Loyal Customer,53.0,,Personal Travel,Eco,552.0,0.0,0.0
JB52443160,Female,Disloyal Customer,33.0,,Business travel,Business,356.0,12.0,0.0
IH22496238,Female,Loyal Customer,46.0,NJ,Personal Travel,Business,119.0,13.0,32.0
BF46329720,Male,Loyal Customer,54.0,,Business travel,Business,1545.0,1.0,0.0
TB74299229,Female,Loyal Customer,40.0,,Business travel,Eco,819.0,23.0,6.0
UU96353196,Female,Loyal Customer,37.0,,Business travel,Business,1801.0,0.0,0.0
HX44012396,Female,Loyal Customer,35.0,HI,Business travel,Business,1658.0,6.0,6.0
SP16581939,Female,Disloyal Customer,26.0,,Business travel,Business,114.0,0.0,13.0
RF74026605,Female,Loyal Customer,62.0,,Business travel,Eco,128.0,0.0,16.0
XY26529754,Male,Loyal Customer,58.0,,Business travel,Business,813.0,0.0,0.0
GV32534767,Female,Loyal Customer,55.0,,Personal Travel,Eco,349.0,0.0,0.0
HC80894929,Female,Loyal Customer,60.0,NV,Business travel,Business,1508.0,15.0,15.0
SV16262861,Female,Loyal Customer,15.0,,Personal Travel,Eco,89.0,0.0,0.0
RC10911630,Male,Loyal Customer,67.0,,Personal Travel,Eco,157.0,45.0,33.0
CU59137775,Male,Loyal Customer,43.0,PA,Business travel,Business,2828.0,39.0,41.0
VJ02310902,Male,Loyal Customer,30.0,,Business travel,Business,3131.0,7.0,0.0
MW47787972,Female,Loyal Customer,42.0,AK,Business travel,Eco,718.0,0.0,0.0
IN83505194,Male,Loyal Customer,40.0,,Business travel,Business,1959.0,209.0,191.0
ZK22312181,Male,Loyal Customer,47.0,OR,Business travel,Business,3496.0,0.0,2.0
DX68545561,Male,Loyal Customer,38.0,,Business travel,Business,2300.0,60.0,37.0
AS54450520,Female,Loyal Customer,25.0,,Personal Travel,Eco,2845.0,0.0,1.0
ME76248304,Male,Disloyal Customer,26.0,MA,Business travel,Eco,406.0,149.0,138.0
HQ30277261,Male,Loyal Customer,66.0,GA,Personal Travel,Eco,580.0,26.0,13.0
CO99488904,Female,Loyal Customer,69.0,,Business travel,Eco,735.0,12.0,4.0
ND67345601,Female,Loyal Customer,22.0,,Business travel,Business,1722.0,0.0,53.0
AT44813927,Male,Loyal Customer,8.0,,Personal Travel,Eco Plus,1201.0,24.0,14.0
LX19632865,Female,Disloyal Customer,37.0,NJ,Business travel,Business,372.0,11.0,0.0
PC32255275,Female,Loyal Customer,69.0,,Personal Travel,Eco,1072.0,18.0,7.0
KD12713047,Male,Loyal Customer,28.0,GA,Business travel,Eco,733.0,15.0,22.0
BY99230421,Male,Loyal Customer,51.0,CO,Business travel,Eco Plus,1075.0,5.0,0.0
GI80057084,Female,Loyal Customer,46.0,NJ,Personal Travel,Eco,2586.0,59.0,57.0
QN13970227,Male,Disloyal Customer,39.0,SC,Business travel,Business,140.0,0.0,7.0
JI27121494,Female,Disloyal Customer,21.0,VA,Business travel,Eco Plus,903.0,35.0,28.0
KY50434054,Male,Loyal Customer,46.0,RI,Business travel,Business,2423.0,1.0,0.0
ZE78966381,Female,Loyal Customer,36.0,MA,Business travel,Business,3130.0,62.0,65.0
PQ84776792,Male,Loyal Customer,60.0,,Business travel,Business,2198.0,23.0,4.0
MT65442118,Male,Loyal Customer,23.0,GA,Business travel,Eco Plus,602.0,21.0,44.0
TY57577923,Male,Loyal Customer,52.0,MD,Personal Travel,Eco,685.0,0.0,0.0
GP89331099,Male,Loyal Customer,36.0,,Business travel,Eco,1208.0,3.0,0.0
HI74113328,Male,Loyal Customer,41.0,MD,Business travel,Business,2789.0,10.0,0.0
RE96913452,Male,Loyal Customer,45.0,,Business travel,Business,3305.0,8.0,0.0
QP11320078,Male,Loyal Customer,67.0,,Personal Travel,Eco,2342.0,0.0,0.0
QU37909845,Female,Loyal Customer,45.0,,Business travel,Business,3712.0,0.0,0.0
TC53901024,Female,Loyal Customer,56.0,,Personal Travel,Eco,1431.0,91.0,76.0
GF91414775,Female,Disloyal Customer,62.0,MD,Business travel,Eco,255.0,113.0,107.0
UT73891559,Female,Loyal Customer,30.0,,Business travel,Business,3720.0,27.0,12.0
VN27024398,Male,Loyal Customer,48.0,MA,Business travel,Eco,1107.0,0.0,0.0
